,Max,Avg,Min,Max.1,Avg.1,Min.1,Max.2,Avg.2,Min.2,Max.3,Avg.3,Min.3,Max.4,Avg.4,Min.4,Total,LAMIA
2016-01-01,45,27.5,14,27,17.8,10,100,71.0,27,0,0,0,28.6,28.6,28.6,0.0,45976.0
2016-01-02,50,34.4,21,32,26.1,19,100,73.9,40,0,0,0,28.6,28.5,28.5,0.0,41581.0
2016-01-03,46,42.3,36,46,41.2,32,100,96.1,87,0,0,0,28.5,28.2,28.0,0.0,73160.0
2016-01-04,48,43.8,37,46,43.2,37,100,97.4,82,0,0,0,28.1,28.0,27.9,0.0,171852.0
2016-01-05,54,51.3,48,54,51.1,48,100,99.6,94,0,0,0,28.1,28.0,27.9,0.0,172685.0
2016-01-06,57,53.7,50,54,52.4,50,100,95.4,82,0,0,0,28.1,28.0,27.8,0.0,162599.0
2016-01-07,50,43.1,37,50,40.4,36,100,90.8,62,0,0,0,28.1,27.9,27.8,0.0,164671.0
2016-01-08,52,38.6,30,39,34.6,0,100,88.0,0,0,0,0,28.4,28.2,28.1,0.0,112646.0
2016-01-09,50,44.7,39,50,43.2,39,100,94.4,82,0,0,0,28.4,28.4,28.3,0.0,52344.0
2016-01-10,55,50.5,46,52,49.5,46,100,96.8,82,0,0,0,28.4,28.3,28.2,0.0,94670.0
2016-01-11,59,50.5,45,52,47.6,45,100,90.8,67,0,0,0,28.4,28.3,28.3,0.0,177970.0
2016-01-12,57,52.2,48,54,48.1,46,94,87.0,77,0,0,0,28.3,28.2,28.1,0.0,180452.0
2016-01-13,50,43.5,36,45,41.3,36,100,91.9,76,0,0,0,28.4,28.2,28.2,0.0,181998.0
2016-01-14,48,37.1,32,43,35.1,0,100,93.8,0,0,0,0,28.5,28.4,28.4,0.0,201308.0
2016-01-15,48,43.5,36,48,43.0,36,100,97.7,87,0,0,0,28.4,28.3,28.1,0.0,140752.0
2016-01-16,52,47.3,45,48,46.2,43,100,96.2,82,0,0,0,28.1,27.9,27.8,0.0,56474.0
2016-01-17,45,40.6,36,43,37.4,30,100,89.0,66,0,0,0,27.8,27.8,27.7,0.0,83283.0
2016-01-18,41,34.4,25,30,22.1,16,87,62.6,41,0,0,0,28.2,28.0,27.8,0.0,179245.0
2016-01-19,140,27.7,0,111,18.7,0,93,58.8,0,0,0,0,28.4,28.3,28.2,0.0,179791.0
