,Max,Avg,Min,Max.1,Avg.1,Min.1,Max.2,Avg.2,Min.2,Max.3,Avg.3,Min.3,Max.4,Avg.4,Min.4,Total,MEGALOPOLIS (PPC)
2016-01-01,52,43.7,34,43,31.7,25,93,64.1,41,6,6,6,30.3,30.3,30.2,0.0,21923790.0
2016-01-02,61,48.4,39,46,40.9,37,100,77.0,48,6,6,6,30.2,30.2,30.1,0.0,22877518.0
2016-01-03,61,50.8,39,55,47.5,36,94,88.7,77,12,12,12,30.3,29.9,29.8,0.0,22118853.0
2016-01-04,64,54.8,46,55,49.8,45,100,84.0,59,9,9,9,29.8,29.7,29.7,0.0,23522007.0
2016-01-05,70,62.6,57,59,56.0,54,94,80.3,64,6,6,6,29.8,29.7,29.6,0.0,4510951.0
2016-01-06,66,60.8,50,59,54.3,48,94,80.4,64,15,15,15,29.8,29.7,29.6,0.0,18074837.0
2016-01-07,63,54.5,48,55,45.4,39,94,72.6,51,10,10,10,29.7,29.6,29.4,0.0,20551407.0
2016-01-08,64,53.4,46,48,43.4,39,87,69.7,45,6,6,6,30.1,29.9,29.7,0.0,18612500.0
2016-01-09,64,56.5,43,54,48.9,41,94,77.1,52,6,6,6,30.1,30.0,30.0,0.0,17611923.0
2016-01-10,59,54.5,48,57,52.4,46,100,92.8,82,7,7,7,30.0,30.0,29.9,0.0,19205619.0
2016-01-11,68,53.5,43,61,49.4,41,100,87.3,60,8,8,8,30.1,30.0,30.0,0.0,24371894.0
2016-01-12,68,54.1,41,55,49.1,39,100,83.8,56,10,10,10,30.0,29.9,29.9,0.0,25032211.0
2016-01-13,64,55.0,48,52,46.0,41,100,74.3,42,10,10,10,30.0,29.9,29.9,0.0,22688638.0
2016-01-14,63,50.9,41,45,37.0,21,100,65.8,20,7,7,7,30.1,30.1,30.0,0.0,17909591.0
2016-01-15,63,51.3,39,50,43.0,36,93,75.2,55,8,8,8,30.1,30.0,29.9,0.0,11282697.0
2016-01-16,63,61.0,55,55,54.1,52,94,78.5,68,25,25,25,29.9,29.7,29.5,0.0,9492245.0
2016-01-17,55,48.6,43,52,42.6,37,93,80.0,58,9,9,9,29.5,29.4,29.4,0.0,99920.0
2016-01-18,48,41.1,36,41,35.4,30,93,80.7,53,7,7,7,29.9,29.7,29.5,0.0,198.0
2016-01-19,52,42.2,32,39,33.0,25,100,72.8,35,5,5,5,30.1,30.0,29.9,0.0,26439.0
2016-01-20,55,46.9,41,48,43.3,39,100,87.9,72,7,7,7,30.0,29.9,29.9,0.0,667549.0
2016-01-21,59,47.4,36,41,37.6,34,93,72.1,42,7,7,7,30.1,30.1,30.0,0.0,17094.0
2016-01-22,59,47.6,37,45,40.0,34,93,75.1,51,7,7,7,30.3,30.2,30.1,0.0,732.0
